avg,stdev,min,max
18.75, 13.2459642156012, 2, 12
19.359375, 13.2982496141501, 2, 12
19.9393939971924, 13.3195322084079, 2, 12
20.2222213745117, 13.3066441409698, 2, 12
20.015625, 13.367008283656, 2, 12
20.2063484191895, 13.429265993856, 2, 12
20.9393939971924, 13.4177966786878, 2, 12
21.03125, 13.3928649944888, 2, 12
21.078125, 13.3517078085975, 2, 12
21.2153854370117, 13.367123419616, 2, 13
21.4461536407471, 13.3613134065297, 2, 13
21.5, 13.4529414659844, 2, 13
21.4761905670166, 13.4351980420454, 3, 13
21.5396823883057, 13.4476524129936, 3, 13
21.5714282989502, 13.4669436892162, 3, 13
21.6307697296143, 13.4732029203869, 3, 13
21.609375, 13.4660061462189, 3, 13
21.765625, 13.5196509935227, 4, 12
21.7460308074951, 13.5097422857041, 4, 12
21.9677410125732, 13.5434083567386, 4, 13
21.921875, 13.5474767215596, 4, 13
22.125, 13.5440816622529, 4, 13
22.0625, 13.5887097447099, 4, 13
22.0952377319336, 13.5720509497439, 4, 13
22.171875, 13.6031362284296, 4, 13
21.875, 13.796429076162, 4, 12
22.1846160888672, 13.8834271727306, 4, 13
22.1076927185059, 13.8986310690869, 4, 12
22.2923069000244, 13.904563293869, 4, 13
22.2575759887695, 13.957027127196, 4, 13
22.6000003814697, 13.9990976133327, 4, 12
22.8059692382813, 14.0152816303588, 4, 12
22.7575759887695, 14.0445231648964, 4, 13
22.5901641845703, 14.1578780093868, 4, 13
22.5384616851807, 14.1723982033492, 4, 13
22.6615390777588, 14.1861861167831, 4, 12
22.421875, 14.0204137226742, 4, 12
22.2985076904297, 14.0296633503289, 4, 12
22, 13.9228808155995, 4, 12
22.4923076629639, 14.0834703885408, 4, 12
22.7142848968506, 14.1429833480487, 4, 12
22.875, 14.1295031446549, 4, 12
22.9538459777832, 14.1527624753496, 4, 13
22.8030300140381, 14.1366400910051, 4, 13
22.8461532592773, 14.1332945502169, 4, 13
23.0317459106445, 14.1329787904407, 4, 13
22.9838714599609, 14.1394616215495, 4, 12
23.6451606750488, 14.216427494187, 4, 12
23.6774196624756, 14.2697683292808, 4, 12
23.6031742095947, 14.3040530568834, 4, 12
23.703125, 14.3797415702052, 4, 12
23.6363639831543, 14.4025740109724, 4, 12
23.8461532592773, 14.4427545506213, 4, 12
23.7096767425537, 14.3860423551976, 4, 12
23.7741928100586, 14.3822848730403, 4, 12
23.9193553924561, 14.3797605519817, 4, 12
24.0322589874268, 14.4139382018865, 4, 12
24, 14.4689397602037, 4, 12
24.046875, 14.4517736880505, 4, 13
24.0806446075439, 14.4316984543316, 4, 14
24.0819664001465, 14.4939102338287, 4, 13
24.1612911224365, 14.4828714901603, 4, 13
24.2622947692871, 14.5755537629829, 4, 13
24.3278694152832, 14.5231114277634, 4, 13
24.2786884307861, 14.5417773807897, 4, 14
24.3225803375244, 14.5786784675019, 4, 14
24.2096767425537, 14.5681934030741, 4, 14
24.3174610137939, 14.562009571501, 4, 14
24.4615383148193, 14.5808215841899, 4, 14
24.5483875274658, 14.5479584584103, 5, 14
24.4262294769287, 14.5190421826835, 5, 14
24.5645160675049, 14.5080369368322, 5, 14
24.5322589874268, 14.5731193112152, 5, 13
24.7538452148438, 14.6168107694429, 5, 14
24.8548393249512, 14.5752854666449, 5, 14
24.9508190155029, 14.648373677819, 5, 14
25.0491809844971, 14.6179567765029, 5, 14
24.9682540893555, 14.6596470618558, 5, 14
24.9523811340332, 14.6381876535916, 5, 15
24.9375, 14.6312824047343, 5, 15
25.0158729553223, 14.6728046996585, 5, 14
25.0161285400391, 14.678470890816, 5, 14
25.4307689666748, 14.7723559861384, 5, 15
25.3015880584717, 14.7623122073496, 5, 15
25.4918041229248, 14.7167705552868, 5, 14
25.4032249450684, 14.6973751646483, 5, 14
25.6031742095947, 14.7560911018185, 5, 15
25.6825389862061, 14.7979637560857, 5, 15
25.7777786254883, 14.8203346898124, 5, 15
25.9677410125732, 14.8777253330262, 5, 15
25.7419357299805, 14.8213822956738, 5, 15
25.8571434020996, 14.774783676783, 5, 15
26.1818180084229, 14.8455092391844, 5, 15
26.1587295532227, 14.8359993805551, 5, 16
26.5076923370361, 14.9510629223083, 5, 16
26.3870964050293, 14.8972453832994, 5, 16
26.4677410125732, 14.8856246945759, 5, 16
26.390625, 14.9039869873879, 5, 16
26.3387088775635, 14.8502143167009, 5, 16
26.3278694152832, 14.8575871782509, 5, 16
26.2903232574463, 14.8746343357847, 6, 16
26.3968257904053, 14.8490527707394, 6, 16
26.3934421539307, 14.814273839925, 6, 16
26.4918041229248, 14.7945416698987, 6, 16
26.6612911224365, 14.8624490238008, 6, 16
26.4375, 14.8652738417762, 6, 16
26.671875, 14.8844538754166, 6, 16
26.8571434020996, 14.9183110626733, 6, 16
26.7538452148438, 14.967029440277, 6, 16
27.0476188659668, 15.0316697814325, 6, 16
26.8888893127441, 15.0773018191626, 6, 16
26.859375, 15.019924489459, 6, 16
26.8461532592773, 14.9959854399964, 6, 16
26.8709678649902, 14.9785639836367, 6, 16
26.953125, 14.9755956105381, 6, 16
26.8923072814941, 14.9568797420449, 6, 16
26.9692306518555, 14.9258061164038, 6, 17
27.0806446075439, 14.9867296303125, 6, 17
27.15625, 15.0069250835397, 6, 17
27.203125, 15.0233171894993, 6, 17
27.3968257904053, 15.0710713596049, 6, 17
27.140625, 14.9931913955758, 6, 17
27.1746025085449, 15.0001553204373, 6, 17
27.375, 14.9993490251038, 6, 17
27.380952835083, 15.0221052507841, 6, 17
27.3650798797607, 14.9836851907069, 6, 17
27.5714282989502, 15.048062251083, 6, 17
27.4354839324951, 15.0639806734588, 6, 17
27.609375, 15.0503475902933, 6, 17
27.6774196624756, 15.0682039092083, 6, 17
27.7142848968506, 15.0948224991713, 7, 17
28.125, 15.2440279405264, 7, 17
28.2153854370117, 15.261274539353, 7, 18
27.953125, 15.1948423093266, 7, 17
28.0625, 15.1605057645213, 7, 17
28.15625, 15.1365067313291, 7, 18
28.4032249450684, 15.2537619688242, 7, 18
28.4754104614258, 15.1830942164573, 7, 18
28.46875, 15.2109492811801, 7, 18
28.380952835083, 15.2251295967969, 7, 18
28.3125, 15.2433900273184, 7, 18
28.328125, 15.2006483799969, 7, 18
28.4193553924561, 15.1723407152504, 7, 18
28.359375, 15.2200335525025, 7, 18
28.6615390777588, 15.4002027193798, 7, 18
28.59375, 15.3602064005498, 7, 19
28.734375, 15.3465346665586, 7, 19
28.6615390777588, 15.3373936995656, 7, 19
28.9032249450684, 15.3490164111238, 7, 19
28.761905670166, 15.3680560510987, 7, 19
28.8095245361328, 15.3511125808589, 7, 19
28.671875, 15.3157958124431, 7, 19
28.8387088775635, 15.2908796677341, 7, 19
28.6307697296143, 15.2872764490366, 7, 19
28.761905670166, 15.2871993668883, 7, 19
28.6875, 15.252132125218, 7, 19
28.8888893127441, 15.3019737018301, 7, 19
28.8125, 15.2903165709246, 7, 19
28.71875, 15.2441281300841, 7, 19
28.859375, 15.3170801839452, 7, 19
29.046875, 15.3043767765466, 7, 20
29.0476188659668, 15.2826329480644, 7, 20
29.1111106872559, 15.2714726699598, 7, 19
28.953125, 15.2913787228243, 7, 19
28.9206352233887, 15.307517067154, 7, 19
29.046875, 15.2187394209754, 7, 19
29.125, 15.2465255977699, 7, 20
29.0645160675049, 15.3190257129822, 7, 20
29.1538467407227, 15.2344658300866, 7, 20
29.03125, 15.2506964317567, 7, 20
29.109375, 15.279500831093, 7, 20
29.2923069000244, 15.3628158473256, 7, 20
29.2769222259521, 15.3579806069389, 7, 21
29.21875, 15.3217997171345, 7, 21
29.5873012542725, 15.3398244006581, 7, 21
29.5873012542725, 15.4330401243506, 7, 21
29.6507930755615, 15.4500977687881, 7, 22
29.7301578521729, 15.5123001723808, 7, 22
29.828125, 15.5532868939597, 7, 22
29.6129035949707, 15.5099943144572, 7, 20
29.578125, 15.5351136388035, 7, 20
29.5909099578857, 15.4810114361173, 7, 20
29.71875, 15.5139710278732, 7, 20
29.6984119415283, 15.6024825807314, 7, 21
29.9365081787109, 15.5184687908128, 7, 21
29.6923084259033, 15.5254232711798, 7, 20
29.7936515808105, 15.5296852895517, 7, 20
