avg,stdev,min,max
22, 0, 22, 22
22, 0, 22, 22
22, 0, 22, 22
22.00390625, 0.0623778102448098, 22, 23
22.003125, 0.0558142846859117, 22, 23
22.0052083333333, 0.0719805987556523, 22, 23
22.0044642857143, 0.0666660023351254, 22, 23
22.008, 0.109252002269981, 22, 24
22.008, 0.109252002269981, 22, 24
22.008, 0.109252002269981, 22, 24
22.01, 0.117898261225516, 22, 24
22.01, 0.117898261225516, 22, 24
22.012, 0.125920609909577, 22, 24
22.016, 0.178168459610561, 22, 25
22.026, 0.255585602098395, 22, 26
22.026, 0.255585602098395, 22, 26
22.03, 0.2628687885619, 22, 26
22.022, 0.193690474727076, 22, 25
22.02, 0.166132477258362, 22, 24
22.024, 0.177268158449283, 22, 24
22.026, 0.182548623659561, 22, 24
22.026, 0.182548623659561, 22, 24
22.028, 0.187659265691839, 22, 24
22.026, 0.182548623659561, 22, 24
22.022, 0.171802211860034, 22, 24
22.024, 0.177268158449283, 22, 24
22.034, 0.21176401960673, 22, 24
22.038, 0.229250954196487, 22, 24
22.038, 0.229250954196487, 22, 24
22.042, 0.237141308084442, 22, 24
22.046, 0.24471207571348, 22, 24
22.054, 0.266615828487356, 22, 24
22.054, 0.266615828487356, 22, 24
22.056, 0.262419511469708, 22, 24
22.05, 0.251992063367084, 22, 24
22.056, 0.262419511469708, 22, 24
22.06, 0.276405499221704, 22, 24
22.062, 0.272315992919991, 22, 24
22.062, 0.272315992919991, 22, 24
22.066, 0.285734142167157, 22, 24
22.068, 0.295594316589477, 22, 24
22.064, 0.282672955904876, 22, 24
22.06, 0.276405499221705, 22, 24
22.056, 0.269933325100848, 22, 24
22.072, 0.344696968364968, 22, 25
22.084, 0.364614865303103, 22, 25
22.088, 0.3691287038419, 22, 25
22.094, 0.381003936987535, 22, 25
22.106, 0.393400559226853, 22, 25
22.112, 0.404296920591786, 22, 25
22.106, 0.398452004637949, 22, 25
22.098, 0.379994736805657, 22, 25
22.108, 0.395393474908224, 22, 25
22.104, 0.375744594106157, 22, 25
22.108, 0.37991578014081, 22, 25
22.114, 0.386010362555205, 22, 25
22.118, 0.395064551687445, 22, 25
22.11, 0.397366329726111, 22, 25
22.114, 0.406206843861598, 22, 25
22.122, 0.427920553374103, 22, 25
22.12, 0.430813184570759, 22, 25
22.124, 0.438889507735147, 22, 25
22.108, 0.405383768791994, 22, 25
22.116, 0.427251682267024, 22, 25
22.12, 0.430813184570759, 22, 25
22.112, 0.41887468293035, 22, 25
22.13, 0.470212717820352, 22, 25
22.138, 0.484722601082308, 22, 25
22.13, 0.443959457608464, 22, 25
22.146, 0.482373299426905, 22, 25
22.154, 0.496270087754639, 22, 25
22.162, 0.517451446997689, 22, 25
22.188, 0.56978592471208, 22, 26
22.194, 0.573030540198339, 22, 26
22.192, 0.568450525551696, 22, 26
22.186, 0.565158384879846, 22, 26
22.174, 0.554728762549771, 22, 26
22.176, 0.559485477916989, 22, 26
22.178, 0.571240754848603, 22, 26
22.18, 0.575847201955518, 22, 26
22.174, 0.572471833368244, 22, 26
22.178, 0.574731241538166, 22, 26
22.198, 0.602325493400372, 22, 26
22.202, 0.633400347331764, 22, 27
22.206, 0.638407393440898, 22, 27
22.21, 0.640234332100368, 22, 27
22.202, 0.627053426750863, 22, 27
22.194, 0.593602560641377, 22, 26
22.21, 0.614735715572149, 22, 26
22.21, 0.627614531380531, 22, 26
22.216, 0.633517166302541, 22, 26
22.222, 0.645535436672535, 22, 26
22.24, 0.685857127979291, 22, 26
22.226, 0.656448017743977, 22, 26
22.248, 0.67118998800638, 22, 26
22.242, 0.665909903815821, 22, 26
22.234, 0.656691708490367, 22, 26
22.234, 0.668763037256095, 22, 26
22.24, 0.662117814289875, 22, 26
22.25, 0.680808343074613, 22, 26
22.246, 0.670435679241492, 22, 26
22.252, 0.67564487713591, 22, 26
22.242, 0.659875745879478, 22, 26
22.266, 0.698028652707034, 22, 26
22.284, 0.747893040481058, 22, 26
22.296, 0.759199578503572, 22, 26
22.306, 0.769651869353932, 22, 26
22.306, 0.777408515518066, 22, 26
22.31, 0.778395786216755, 22, 26
22.314, 0.776790834137474, 22, 26
22.352, 0.834323678196898, 22, 27
22.324, 0.804378020584852, 22, 26
22.306, 0.767048890227997, 22, 26
22.328, 0.790199974689951, 22, 26
22.332, 0.791060048289634, 22, 26
22.344, 0.801039324877374, 22, 26
22.358, 0.820875142759241, 22, 26
22.356, 0.822960509380613, 22, 26
22.358, 0.825733613219182, 22, 26
22.378, 0.85271097096261, 22, 26
22.368, 0.851220300509804, 22, 26
22.37, 0.853873526934759, 22, 26
22.388, 0.881734653963428, 22, 26
22.396, 0.887233903770587, 22, 26
22.368, 0.83939025488744, 22, 26
22.358, 0.830563664025825, 22, 26
22.36, 0.835703296631046, 22, 26
22.402, 0.883400249037776, 22, 26
22.398, 0.882947337047914, 22, 26
22.416, 0.900524291732318, 22, 26
22.426, 0.914616859674037, 22, 26
22.414, 0.900335493024684, 22, 26
22.444, 0.93747746639586, 22, 26
22.45, 0.946308617735247, 22, 26
22.504, 1.00099150845549, 22, 26
22.5, 1.00498756211209, 22, 26
22.51, 1.00294566153905, 22, 27
22.496, 0.98080783031132, 22, 26
22.488, 0.97255128399483, 22, 26
22.496, 0.992967270356883, 22, 26
22.51, 1.01483988884947, 22, 26
22.486, 0.984786271228435, 22, 26
22.502, 1.0109381781296, 22, 26
22.49, 1.00294566153905, 22, 26
22.502, 1.0324708228323, 22, 26
22.522, 1.06090338862688, 22, 26
22.554, 1.08401291505221, 22, 26
22.558, 1.10934034452913, 22, 26
22.588, 1.14815329986897, 22, 27
22.618, 1.17646759411384, 22, 27
22.63, 1.17860086543325, 22, 27
22.654, 1.20593698011132, 22, 27
22.632, 1.20688690439494, 22, 27
22.682, 1.26525728608848, 22, 27
22.672, 1.27452579416817, 22, 27
22.698, 1.31255323701555, 22, 28
22.714, 1.33873223610998, 22, 28
22.74, 1.33131513925141, 22, 27
22.746, 1.33322316211503, 22, 27
22.776, 1.34826703586493, 22, 27
22.782, 1.36765346488063, 22, 27
22.818, 1.38451291073793, 22, 27
22.834, 1.38940418885219, 22, 27
22.904, 1.43065858960131, 22, 27
22.918, 1.44335581198816, 22, 27
22.968, 1.4828944669126, 22, 27
22.964, 1.48280275154857, 22, 28
22.972, 1.48297538752334, 22, 28
22.95, 1.48441907829292, 22, 28
23.032, 1.52675341820478, 22, 28
23.002, 1.52643244200325, 22, 28
23.034, 1.54040384315283, 22, 28
23.04, 1.5447977213862, 22, 28
23.014, 1.50658687104328, 22, 28
23.034, 1.51553422924064, 22, 28
23.072, 1.56295105489584, 22, 29
23.076, 1.571694626828, 22, 29
23.1, 1.59687194226713, 22, 29
23.122, 1.61713202924189, 22, 29
23.12, 1.6412190591143, 22, 30
23.16, 1.67284189330612, 22, 30
23.162, 1.65884176460565, 22, 30
23.14, 1.65057565715723, 22, 30
